R (m),Z (m),Psi (normalized to 1 at LCFS),Ne (m^-3),Te (eV),Bz (T)
0.162,-0.00073342,1.3785,1.00E+17,10.002,0.38691
0.1635,-0.00073342,1.4035,1.00E+17,10.002,0.38636
0.165,-0.00073342,1.4286,1.00E+17,10.002,0.38583
0.1665,-0.00073342,1.454,1.00E+17,10.002,0.38535
0.168,-0.00073342,1.4796,1.00E+17,10.002,0.38494
0.1695,-0.00073342,1.5053,1.00E+17,10.002,0.38446
0.171,-0.00073342,1.5314,1.00E+17,10.002,0.38384
0.1725,-0.00073342,1.5575,1.00E+17,10.002,0.38324
0.174,-0.00073342,1.5839,1.00E+17,10.002,0.38271
0.1755,-0.00073342,1.6104,1.00E+17,10.002,0.38218
0.177,-0.00073342,1.6372,1.00E+17,10.002,0.3817
0.1785,-0.00073342,1.6641,1.00E+17,10.002,0.3812
0.18,-0.00073342,1.6912,1.00E+17,10.002,0.38064
0.1815,-0.00073342,1.7183,1.00E+17,10.002,0.38007
0.183,-0.00073342,1.7459,1.00E+17,10.002,0.37955
0.1845,-0.00073342,1.7735,1.00E+17,10.002,0.37902
0.186,-0.00073342,1.8015,1.00E+17,10.002,0.37843
0.1875,-0.00073342,1.8295,1.00E+17,10.002,0.37784
0.189,-0.00073342,1.8579,1.00E+17,10.002,0.37724
0.1905,-0.00073342,1.8862,1.00E+17,10.002,0.37664
0.192,-0.00073342,1.9149,1.00E+17,10.002,0.3761
0.1935,-0.00073342,1.9436,1.00E+17,10.002,0.37557
0.195,-0.00073342,1.9727,1.00E+17,10.002,0.375
0.1965,-0.00073342,2.0018,1.00E+17,10.002,0.37442
0.198,-0.00073342,2.0312,1.00E+17,10.002,0.37378
0.1995,-0.00073342,2.0607,1.00E+17,10.002,0.37311
