R (m),Z (m),Psi (normalized to 1 at LCFS),Ne (m^-3),Te (eV),Bz (T)
0,-0.92773,0,3.00E+19,609.4,17.528
0,-0.92623,0,3.00E+19,609.4,17.476
0,-0.92473,0,3.00E+19,609.4,17.424
0,-0.92323,0,3.00E+19,609.41,17.371
0,-0.92173,0,3.00E+19,609.41,17.319
0,-0.92023,0,3.00E+19,609.41,17.26
0,-0.91873,0,3.00E+19,609.41,17.169
0,-0.91723,0,3.00E+19,609.41,17.077
0,-0.91573,0,3.00E+19,609.42,16.985
0,-0.91423,0,3.00E+19,609.42,16.894
0,-0.91273,0,3.00E+19,609.42,16.798
0,-0.91123,0,3.00E+19,609.43,16.695
0,-0.90973,0,3.00E+19,609.43,16.592
0,-0.90823,0,3.00E+19,609.43,16.489
0,-0.90673,0,3.00E+19,609.44,16.386
0,-0.90523,0,3.00E+19,609.44,16.269
0,-0.90373,0,3.00E+19,609.45,16.139
0,-0.90223,0,3.00E+19,609.45,16.008
0,-0.90073,0,3.00E+19,609.45,15.877
0,-0.89923,0,3.00E+19,609.46,15.747
0,-0.89773,0,3.00E+19,609.46,15.61
0,-0.89623,0,3.00E+19,609.47,15.469
0,-0.89473,0,3.00E+19,609.48,15.329
0,-0.89323,0,3.00E+19,609.48,15.188
0,-0.89173,0,3.00E+19,609.49,15.048
0,-0.89023,0,3.00E+19,609.49,14.896
0,-0.88873,0,3.00E+19,609.5,14.742
0,-0.88723,0,3.00E+19,609.5,14.588
0,-0.88573,0,3.00E+19,609.51,14.433
0,-0.88423,0,3.00E+19,609.51,14.279
0,-0.88273,0,3.00E+19,609.52,14.122
0,-0.88123,0,3.00E+19,609.52,13.966
0,-0.87973,0,3.00E+19,609.53,13.809
0,-0.87823,0,3.00E+19,609.53,13.652
0,-0.87673,0,3.00E+19,609.54,13.495
0,-0.87523,0,3.00E+19,609.54,13.339
0,-0.87373,0,3.00E+19,609.55,13.182
0,-0.87223,0,3.00E+19,609.55,13.025
0,-0.87073,0,3.00E+19,609.56,12.869
0,-0.86923,0,3.00E+19,609.56,12.714
0,-0.86773,0,3.00E+19,609.57,12.564
0,-0.86623,0,3.00E+19,609.57,12.413
0,-0.86473,0,3.00E+19,609.58,12.263
0,-0.86323,0,3.00E+19,609.59,12.113
0,-0.86173,0,3.00E+19,609.59,11.966
0,-0.86023,0,3.00E+19,609.6,11.822
0,-0.85873,0,3.00E+19,609.6,11.678
0,-0.85723,0,3.00E+19,609.6,11.535
0,-0.85573,0,3.00E+19,609.61,11.391
0,-0.85423,0,3.00E+19,609.61,11.255
0,-0.85273,0,3.00E+19,609.62,11.121
0,-0.85123,0,3.00E+19,609.62,10.988
0,-0.84973,0,3.00E+19,609.63,10.854
0,-0.84823,0,3.00E+19,609.63,10.721
0,-0.84673,0,3.00E+19,609.63,10.593
0,-0.84523,0,3.00E+19,609.64,10.466
0,-0.84373,0,3.00E+19,609.64,10.339
0,-0.84223,0,3.00E+19,609.65,10.213
0,-0.84073,0,3.00E+19,609.65,10.086
0,-0.83923,0,3.00E+19,609.65,9.9722
