R (m),Z (m),Psi (normalized to 1 at LCFS),Ne (m^-3),Te (eV),Bz (T)
0,-0.83773,0,3.00E+19,609.66,9.8585
0,-0.83623,0,3.00E+19,609.66,9.7447
0,-0.83473,0,3.00E+19,609.67,9.631
0,-0.83323,0,3.00E+19,609.67,9.5182
0,-0.83173,0,3.00E+19,609.67,9.4098
0,-0.83023,0,3.00E+19,609.68,9.3014
0,-0.82873,0,3.00E+19,609.68,9.193
0,-0.82723,0,3.00E+19,609.69,9.0846
0,-0.82573,0,3.00E+19,609.69,8.9803
0,-0.82423,0,3.00E+19,609.7,8.8833
0,-0.82273,0,3.00E+19,609.7,8.7864
0,-0.82123,0,3.00E+19,609.7,8.6895
0,-0.81973,0,3.00E+19,609.71,8.5925
0,-0.81823,0,3.00E+19,609.71,8.4978
0,-0.81673,0,3.00E+19,609.71,8.405
0,-0.81523,0,3.00E+19,609.72,8.3122
0,-0.81373,0,3.00E+19,609.72,8.2194
0,-0.81223,0,3.00E+19,609.72,8.1267
0,-0.81073,0,3.00E+19,609.72,8.039
0,-0.80923,0,3.00E+19,609.73,7.9536
0,-0.80773,0,3.00E+19,609.73,7.8682
0,-0.80623,0,3.00E+19,609.74,7.7828
0,-0.80473,0,3.00E+19,609.74,7.6974
0,-0.80323,0,3.00E+19,609.74,7.616
0,-0.80173,0,3.00E+19,609.74,7.5354
0,-0.80023,0,3.00E+19,609.75,7.4548
0,-0.79873,0,3.00E+19,609.75,7.3742
0,-0.79723,0,3.00E+19,609.75,7.2937
0,-0.79573,0,3.00E+19,609.75,7.2191
0,-0.79423,0,3.00E+19,609.75,7.1446
0,-0.79273,0,3.00E+19,609.76,7.07
0,-0.79123,0,3.00E+19,609.76,6.9954
0,-0.78973,0,3.00E+19,609.76,6.9217
0,-0.78823,0,3.00E+19,609.76,6.8518
0,-0.78673,0,3.00E+19,609.76,6.7819
0,-0.78523,0,3.00E+19,609.77,6.712
0,-0.78373,0,3.00E+19,609.77,6.6421
0,-0.78223,0,3.00E+19,609.77,6.5738
0,-0.78073,0,3.00E+19,609.77,6.5081
0,-0.77923,0,3.00E+19,609.77,6.4425
0,-0.77773,0,3.00E+19,609.78,6.3768
0,-0.77623,0,3.00E+19,609.78,6.3112
0,-0.77473,0,3.00E+19,609.78,6.2479
0,-0.77323,0,3.00E+19,609.78,6.1866
0,-0.77173,0,3.00E+19,609.79,6.1254
0,-0.77023,0,3.00E+19,609.79,6.0642
0,-0.76873,0,3.00E+19,609.79,6.0029
0,-0.76723,0,3.00E+19,609.79,5.9436
0,-0.76573,0,3.00E+19,609.79,5.8852
0,-0.76423,0,3.00E+19,609.8,5.8267
0,-0.76273,0,3.00E+19,609.8,5.7683
0,-0.76123,0,3.00E+19,609.8,5.7098
0,-0.75973,0,3.00E+19,609.8,5.6555
0,-0.75823,0,3.00E+19,609.8,5.6019
0,-0.75673,0,3.00E+19,609.81,5.5482
0,-0.75523,0,3.00E+19,609.81,5.4946
0,-0.75373,0,3.00E+19,609.81,5.441
0,-0.75223,0,3.00E+19,609.81,5.3892
0,-0.75073,0,3.00E+19,609.81,5.3375
0,-0.74923,0,3.00E+19,609.82,5.2857
0,-0.74773,0,3.00E+19,609.82,5.234
0,-0.74623,0,3.00E+19,609.82,5.183
0,-0.74473,0,3.00E+19,609.82,5.1353
0,-0.74323,0,3.00E+19,609.82,5.0876
0,-0.74173,0,3.00E+19,609.83,5.0399
0,-0.74023,0,3.00E+19,609.83,4.9921
0,-0.73873,0,3.00E+19,609.83,4.945
0,-0.73723,0,3.00E+19,609.83,4.8989
0,-0.73573,0,3.00E+19,609.83,4.8528
0,-0.73423,0,3.00E+19,609.84,4.8066
0,-0.73273,0,3.00E+19,609.84,4.7605
0,-0.73123,0,3.00E+19,609.84,4.7161
0,-0.72973,0,3.00E+19,609.84,4.6733
0,-0.72823,0,3.00E+19,609.85,4.6304
0,-0.72673,0,3.00E+19,609.85,4.5875
0,-0.72523,0,3.00E+19,609.85,4.5447
0,-0.72373,0,3.00E+19,609.85,4.5031
0,-0.72223,0,3.00E+19,609.85,4.4621
0,-0.72073,0,3.00E+19,609.85,4.4211
0,-0.71923,0,3.00E+19,609.85,4.3801
0,-0.71773,0,3.00E+19,609.85,4.3391
0,-0.71623,0,3.00E+19,609.85,4.3002
0,-0.71473,0,3.00E+19,609.85,4.2617
0,-0.71323,0,3.00E+19,609.86,4.2232
0,-0.71173,0,3.00E+19,609.86,4.1846
0,-0.71023,0,3.00E+19,609.86,4.1462
0,-0.70873,0,3.00E+19,609.86,4.1098
0,-0.70723,0,3.00E+19,609.86,4.0734
0,-0.70573,0,3.00E+19,609.86,4.037
0,-0.70423,0,3.00E+19,609.86,4.0006
0,-0.70273,0,3.00E+19,609.86,3.9646
0,-0.70123,0,3.00E+19,609.86,3.9303
0,-0.69973,0,3.00E+19,609.86,3.8959
0,-0.69823,0,3.00E+19,609.87,3.8615
0,-0.69673,0,3.00E+19,609.87,3.8271
0,-0.69523,0,3.00E+19,609.87,3.7934
0,-0.69373,0,3.00E+19,609.87,3.7608
0,-0.69223,0,3.00E+19,609.87,3.7282
0,-0.69073,0,3.00E+19,609.88,3.6956
0,-0.68923,0,3.00E+19,609.88,3.663
0,-0.68773,0,3.00E+19,609.88,3.631
0,-0.68623,0,3.00E+19,609.88,3.5997
0,-0.68473,0,3.00E+19,609.88,3.5683
0,-0.68323,0,3.00E+19,609.88,3.537
0,-0.68173,0,3.00E+19,609.88,3.5057
0,-0.68023,0,3.00E+19,609.88,3.4758
0,-0.67873,0,3.00E+19,609.88,3.4466
0,-0.67723,0,3.00E+19,609.89,3.4173
0,-0.67573,0,3.00E+19,609.89,3.3881
0,-0.67423,0,3.00E+19,609.89,3.3589
0,-0.67273,0,3.00E+19,609.89,3.3305
0,-0.67123,0,3.00E+19,609.89,3.3023
0,-0.66973,0,3.00E+19,609.89,3.274
0,-0.66823,0,3.00E+19,609.89,3.2458
0,-0.66673,0,3.00E+19,609.89,3.2177
0,-0.66523,0,3.00E+19,609.89,3.1913
0,-0.66373,0,3.00E+19,609.89,3.1649
0,-0.66223,0,3.00E+19,609.89,3.1385
0,-0.66073,0,3.00E+19,609.89,3.1121
0,-0.65923,0,3.00E+19,609.89,3.0858
0,-0.65773,0,3.00E+19,609.89,3.0601
0,-0.65623,0,3.00E+19,609.89,3.0343
0,-0.65473,0,3.00E+19,609.9,3.0086
0,-0.65323,0,3.00E+19,609.9,2.9828
0,-0.65173,0,3.00E+19,609.9,2.9576
0,-0.65023,0,3.00E+19,609.9,2.9333
0,-0.64873,0,3.00E+19,609.9,2.909
0,-0.64723,0,3.00E+19,609.9,2.8847
0,-0.64573,0,3.00E+19,609.9,2.8603
0,-0.64423,0,3.00E+19,609.9,2.8366
0,-0.64273,0,3.00E+19,609.9,2.8133
0,-0.64123,0,3.00E+19,609.91,2.7901
0,-0.63973,0,3.00E+19,609.91,2.7669
0,-0.63823,0,3.00E+19,609.91,2.7436
0,-0.63673,0,3.00E+19,609.91,2.7217
0,-0.63523,0,3.00E+19,609.91,2.7003
0,-0.63373,0,3.00E+19,609.91,2.6789
0,-0.63223,0,3.00E+19,609.91,2.6575
0,-0.63073,0,3.00E+19,609.91,2.6361
0,-0.62923,0,3.00E+19,609.91,2.6155
0,-0.62773,0,3.00E+19,609.91,2.5949
0,-0.62623,0,3.00E+19,609.91,2.5743
0,-0.62473,0,3.00E+19,609.91,2.5537
0,-0.62323,0,3.00E+19,609.91,2.5332
0,-0.62173,0,3.00E+19,609.91,2.5134
0,-0.62023,0,3.00E+19,609.91,2.4936
0,-0.61873,0,3.00E+19,609.92,2.4738
0,-0.61723,0,3.00E+19,609.92,2.454
0,-0.61573,0,3.00E+19,609.92,2.4344
0,-0.61423,0,3.00E+19,609.92,2.4155
0,-0.61273,0,3.00E+19,609.92,2.3966
0,-0.61123,0,3.00E+19,609.92,2.3777
0,-0.60973,0,3.00E+19,609.92,2.3588
0,-0.60823,0,3.00E+19,609.92,2.3402
0,-0.60673,0,3.00E+19,609.92,2.3221
0,-0.60523,0,3.00E+19,609.92,2.304
0,-0.60373,0,3.00E+19,609.92,2.2859
0,-0.60223,0,3.00E+19,609.92,2.2678
0,-0.60073,0,3.00E+19,609.92,2.2503
0,-0.59923,0,3.00E+19,609.92,2.2332
0,-0.59773,0,3.00E+19,609.93,2.2162
0,-0.59623,0,3.00E+19,609.93,2.1991
0,-0.59473,0,3.00E+19,609.93,2.1821
0,-0.59323,0,3.00E+19,609.93,2.1654
0,-0.59173,0,3.00E+19,609.93,2.1489
0,-0.59023,0,3.00E+19,609.93,2.1324
0,-0.58873,0,3.00E+19,609.93,2.1158
0,-0.58723,0,3.00E+19,609.93,2.0993
0,-0.58573,0,3.00E+19,609.93,2.0838
0,-0.58423,0,3.00E+19,609.93,2.0683
0,-0.58273,0,3.00E+19,609.93,2.0529
0,-0.58123,0,3.00E+19,609.93,2.0375
0,-0.57973,0,3.00E+19,609.93,2.0221
0,-0.57823,0,3.00E+19,609.93,2.0072
0,-0.57673,0,3.00E+19,609.93,1.9923
0,-0.57523,0,3.00E+19,609.93,1.9773
0,-0.57373,0,3.00E+19,609.93,1.9624
0,-0.57223,0,3.00E+19,609.93,1.9477
0,-0.57073,0,3.00E+19,609.93,1.9339
0,-0.56923,0,3.00E+19,609.93,1.9202
0,-0.56773,0,3.00E+19,609.94,1.9064
0,-0.56623,0,3.00E+19,609.94,1.8926
0,-0.56473,0,3.00E+19,609.94,1.8789
0,-0.56323,0,3.00E+19,609.94,1.8653
0,-0.56173,0,3.00E+19,609.94,1.8517
0,-0.56023,0,3.00E+19,609.94,1.8381
0,-0.55873,0,3.00E+19,609.94,1.8244
0,-0.55723,0,3.00E+19,609.94,1.8109
0,-0.55573,0,3.00E+19,609.94,1.7973
0,-0.55423,0,3.00E+19,609.94,1.7838
0,-0.55273,0,3.00E+19,609.94,1.7703
0,-0.55123,0,3.00E+19,609.94,1.7567
0,-0.54973,0,3.00E+19,609.94,1.7439
0,-0.54823,0,3.00E+19,609.94,1.7313
0,-0.54673,0,3.00E+19,609.94,1.7187
0,-0.54523,0,3.00E+19,609.94,1.7061
0,-0.54373,0,3.00E+19,609.94,1.6935
0,-0.54223,0,3.00E+19,609.94,1.682
0,-0.54073,0,3.00E+19,609.94,1.6705
0,-0.53923,0,3.00E+19,609.94,1.6591
0,-0.53773,0,3.00E+19,609.94,1.6476
0,-0.53623,0,3.00E+19,609.94,1.6362
0,-0.53473,0,3.00E+19,609.94,1.6251
0,-0.53323,0,3.00E+19,609.94,1.614
0,-0.53173,0,3.00E+19,609.95,1.6028
0,-0.53023,0,3.00E+19,609.95,1.5917
0,-0.52873,0,3.00E+19,609.95,1.5806
0,-0.52723,0,3.00E+19,609.95,1.5697
0,-0.52573,0,3.00E+19,609.95,1.5588
0,-0.52423,0,3.00E+19,609.95,1.5479
0,-0.52273,0,3.00E+19,609.95,1.5369
0,-0.52123,0,3.00E+19,609.95,1.5263
0,-0.51973,0,3.00E+19,609.95,1.5163
0,-0.51823,0,3.00E+19,609.95,1.5062
0,-0.51673,0,3.00E+19,609.95,1.4961
0,-0.51523,0,3.00E+19,609.95,1.486
0,-0.51373,0,3.00E+19,609.95,1.4761
0,-0.51223,0,3.00E+19,609.95,1.4664
0,-0.51073,0,3.00E+19,609.95,1.4567
0,-0.50923,0,3.00E+19,609.95,1.447
0,-0.50773,0,3.00E+19,609.95,1.4373
0,-0.50623,0,3.00E+19,609.95,1.4276
0,-0.50473,0,3.00E+19,609.95,1.418
0,-0.50323,0,3.00E+19,609.95,1.4084
0,-0.50173,0,3.00E+19,609.95,1.3987
0,-0.50023,0,3.00E+19,609.95,1.3891
0,-0.49873,0,3.00E+19,609.95,1.3796
0,-0.49723,0,3.00E+19,609.95,1.3701
0,-0.49573,0,3.00E+19,609.95,1.3607
0,-0.49423,0,3.00E+19,609.95,1.3512
0,-0.49273,0,3.00E+19,609.95,1.3418
0,-0.49123,0,3.00E+19,609.95,1.3331
0,-0.48973,0,3.00E+19,609.95,1.3244
0,-0.48823,0,3.00E+19,609.96,1.3158
0,-0.48673,0,3.00E+19,609.96,1.3071
0,-0.48523,0,3.00E+19,609.96,1.2985
0,-0.48373,0,3.00E+19,609.96,1.2901
0,-0.48223,0,3.00E+19,609.96,1.2817
0,-0.48073,0,3.00E+19,609.96,1.2734
0,-0.47923,0,3.00E+19,609.96,1.265
0,-0.47773,0,3.00E+19,609.96,1.2568
0,-0.47623,0,3.00E+19,609.96,1.2489
0,-0.47473,0,3.00E+19,609.96,1.2409
0,-0.47323,0,3.00E+19,609.96,1.233
0,-0.47173,0,3.00E+19,609.96,1.2251
0,-0.47023,0,3.00E+19,609.96,1.2173
0,-0.46873,0,3.00E+19,609.96,1.2097
0,-0.46723,0,3.00E+19,609.96,1.202
0,-0.46573,0,3.00E+19,609.96,1.1944
0,-0.46423,0,3.00E+19,609.96,1.1868
0,-0.46273,0,3.00E+19,609.96,1.1794
0,-0.46123,0,3.00E+19,609.96,1.1721
0,-0.45973,0,3.00E+19,609.96,1.1648
0,-0.45823,0,3.00E+19,609.96,1.1575
0,-0.45673,0,3.00E+19,609.96,1.1503
0,-0.45523,0,3.00E+19,609.96,1.1433
0,-0.45373,0,3.00E+19,609.96,1.1364
0,-0.45223,0,3.00E+19,609.96,1.1294
0,-0.45073,0,3.00E+19,609.96,1.1225
0,-0.44923,0,3.00E+19,609.96,1.1156
0,-0.44773,0,3.00E+19,609.96,1.1089
0,-0.44623,0,3.00E+19,609.96,1.1022
0,-0.44473,0,3.00E+19,609.96,1.0955
0,-0.44323,0,3.00E+19,609.96,1.0889
0,-0.44173,0,3.00E+19,609.96,1.0822
0,-0.44023,0,3.00E+19,609.96,1.0757
0,-0.43873,0,3.00E+19,609.96,1.0693
0,-0.43723,0,3.00E+19,609.96,1.0628
0,-0.43573,0,3.00E+19,609.96,1.0563
0,-0.43423,0,3.00E+19,609.96,1.0499
0,-0.43273,0,3.00E+19,609.96,1.0435
0,-0.43123,0,3.00E+19,609.96,1.0372
0,-0.42973,0,3.00E+19,609.96,1.0309
0,-0.42823,0,3.00E+19,609.96,1.0245
0,-0.42673,0,3.00E+19,609.96,1.0185
0,-0.42523,0,3.00E+19,609.96,1.0126
0,-0.42373,0,3.00E+19,609.97,1.0068
0,-0.42223,0,3.00E+19,609.97,1.0009
0,-0.42073,0,3.00E+19,609.97,0.99506
0,-0.41923,0,3.00E+19,609.97,0.98937
0,-0.41773,0,3.00E+19,609.97,0.98374
0,-0.41623,0,3.00E+19,609.97,0.9781
0,-0.41473,0,3.00E+19,609.97,0.97246
0,-0.41323,0,3.00E+19,609.97,0.96683
0,-0.41173,0,3.00E+19,609.97,0.96176
0,-0.41023,0,3.00E+19,609.97,0.95673
0,-0.40873,0,3.00E+19,609.97,0.9517
0,-0.40723,0,3.00E+19,609.97,0.94668
0,-0.40573,0,3.00E+19,609.97,0.94165
0,-0.40423,0,3.00E+19,609.97,0.93663
0,-0.40273,0,3.00E+19,609.97,0.93161
0,-0.40123,0,3.00E+19,609.97,0.92659
0,-0.39973,0,3.00E+19,609.97,0.92157
0,-0.39823,0,3.00E+19,609.97,0.9165
0,-0.39673,0,3.00E+19,609.97,0.91131
0,-0.39523,0,3.00E+19,609.97,0.90612
0,-0.39373,0,3.00E+19,609.97,0.90092
0,-0.39223,0,3.00E+19,609.97,0.89573
0,-0.39073,0,3.00E+19,609.97,0.89061
0,-0.38923,0,3.00E+19,609.97,0.88559
0,-0.38773,0,3.00E+19,609.97,0.88057
0,-0.38623,0,3.00E+19,609.97,0.87555
0,-0.38473,0,3.00E+19,609.97,0.87053
0,-0.38323,0,3.00E+19,609.97,0.86572
0,-0.38173,0,3.00E+19,609.97,0.86106
0,-0.38023,0,3.00E+19,609.97,0.8564
0,-0.37873,0,3.00E+19,609.97,0.85174
0,-0.37723,0,3.00E+19,609.97,0.84708
0,-0.37573,0,3.00E+19,609.97,0.84273
0,-0.37423,0,3.00E+19,609.97,0.83848
0,-0.37273,0,3.00E+19,609.97,0.83422
0,-0.37123,0,3.00E+19,609.97,0.82997
0,-0.36973,0,3.00E+19,609.97,0.82571
0,-0.36823,0,3.00E+19,609.97,0.82178
0,-0.36673,0,3.00E+19,609.97,0.81786
0,-0.36523,0,3.00E+19,609.97,0.81395
0,-0.36373,0,3.00E+19,609.97,0.81003
0,-0.36223,0,3.00E+19,609.97,0.80611
0,-0.36073,0,3.00E+19,609.97,0.80216
0,-0.35923,0,3.00E+19,609.97,0.79822
0,-0.35773,0,3.00E+19,609.97,0.79427
0,-0.35623,0,3.00E+19,609.97,0.79032
0,-0.35473,0,3.00E+19,609.97,0.78638
0,-0.35323,0,3.00E+19,609.97,0.78244
0,-0.35173,0,3.00E+19,609.97,0.7785
0,-0.35023,0,3.00E+19,609.97,0.77456
0,-0.34873,0,3.00E+19,609.97,0.77063
0,-0.34723,0,3.00E+19,609.97,0.76688
0,-0.34573,0,3.00E+19,609.97,0.76336
0,-0.34423,0,3.00E+19,609.97,0.75984
0,-0.34273,0,3.00E+19,609.97,0.75633
0,-0.34123,0,3.00E+19,609.97,0.75281
0,-0.33973,0,3.00E+19,609.97,0.74936
0,-0.33823,0,3.00E+19,609.97,0.74596
0,-0.33673,0,3.00E+19,609.97,0.74256
0,-0.33523,0,3.00E+19,609.97,0.73916
0,-0.33373,0,3.00E+19,609.97,0.73576
0,-0.33223,0,3.00E+19,609.97,0.73222
0,-0.33073,0,3.00E+19,609.97,0.72864
0,-0.32923,0,3.00E+19,609.98,0.72506
0,-0.32773,0,3.00E+19,609.98,0.72148
0,-0.32623,0,3.00E+19,609.98,0.7179
0,-0.32473,0,3.00E+19,609.98,0.71433
0,-0.32323,0,3.00E+19,609.98,0.71076
0,-0.32173,0,3.00E+19,609.98,0.70719
0,-0.32023,0,3.00E+19,609.98,0.70362
0,-0.31873,0,3.00E+19,609.98,0.70007
0,-0.31723,0,3.00E+19,609.98,0.69664
0,-0.31573,0,3.00E+19,609.98,0.69322
0,-0.31423,0,3.00E+19,609.98,0.68979
0,-0.31273,0,3.00E+19,609.98,0.68637
0,-0.31123,0,3.00E+19,609.98,0.68301
0,-0.30973,0,3.00E+19,609.98,0.67979
0,-0.30823,0,3.00E+19,609.98,0.67658
0,-0.30673,0,3.00E+19,609.98,0.67336
0,-0.30523,0,3.00E+19,609.98,0.67014
0,-0.30373,0,3.00E+19,609.98,0.66709
0,-0.30223,0,3.00E+19,609.98,0.66424
0,-0.30073,0,3.00E+19,609.98,0.66139
0,-0.29923,0,3.00E+19,609.98,0.65853
0,-0.29773,0,3.00E+19,609.98,0.65568
0,-0.29623,0,3.00E+19,609.98,0.6529
0,-0.29473,0,3.00E+19,609.98,0.65016
0,-0.29323,0,3.00E+19,609.98,0.64743
0,-0.29173,0,3.00E+19,609.98,0.64469
0,-0.29023,0,3.00E+19,609.98,0.64195
0,-0.28873,0,3.00E+19,609.98,0.63928
0,-0.28723,0,3.00E+19,609.98,0.63663
0,-0.28573,0,3.00E+19,609.98,0.63398
0,-0.28423,0,3.00E+19,609.98,0.63132
0,-0.28273,0,3.00E+19,609.98,0.62867
0,-0.28123,0,3.00E+19,609.98,0.62602
0,-0.27973,0,3.00E+19,609.98,0.62337
0,-0.27823,0,3.00E+19,609.98,0.62071
0,-0.27673,0,3.00E+19,609.98,0.61806
0,-0.27523,0,3.00E+19,609.98,0.61542
0,-0.27373,0,3.00E+19,609.98,0.61282
0,-0.27223,0,3.00E+19,609.98,0.61022
0,-0.27073,0,3.00E+19,609.98,0.60763
0,-0.26923,0,3.00E+19,609.98,0.60503
0,-0.26773,0,3.00E+19,609.98,0.60256
0,-0.26623,0,3.00E+19,609.98,0.6004
0,-0.26473,0,3.00E+19,609.98,0.59824
0,-0.26323,0,3.00E+19,609.98,0.59608
0,-0.26173,0,3.00E+19,609.98,0.59392
0,-0.26023,0,3.00E+19,609.98,0.59183
0,-0.25873,0,3.00E+19,609.98,0.58984
0,-0.25723,0,3.00E+19,609.98,0.58784
0,-0.25573,0,3.00E+19,609.98,0.58584
0,-0.25423,0,3.00E+19,609.98,0.58385
0,-0.25273,0,3.00E+19,609.98,0.58182
0,-0.25123,0,3.00E+19,609.98,0.57978
0,-0.24973,0,3.00E+19,609.98,0.57773
0,-0.24823,0,3.00E+19,609.98,0.57569
0,-0.24673,0,3.00E+19,609.98,0.57364
0,-0.24523,0,3.00E+19,609.98,0.57156
0,-0.24373,0,3.00E+19,609.98,0.56946
0,-0.24223,0,3.00E+19,609.98,0.56736
0,-0.24073,0,3.00E+19,609.98,0.56526
0,-0.23923,0,3.00E+19,609.98,0.56316
0,-0.23773,0,3.00E+19,609.98,0.56093
0,-0.23623,0,3.00E+19,609.98,0.55869
0,-0.23473,0,3.00E+19,609.98,0.55645
0,-0.23323,0,3.00E+19,609.98,0.55422
0,-0.23173,0,3.00E+19,609.98,0.55199
0,-0.23023,0,3.00E+19,609.98,0.54988
0,-0.22873,0,3.00E+19,609.98,0.54776
0,-0.22723,0,3.00E+19,609.98,0.54564
0,-0.22573,0,3.00E+19,609.98,0.54352
0,-0.22423,0,3.00E+19,609.98,0.5415
0,-0.22273,0,3.00E+19,609.98,0.53969
0,-0.22123,0,3.00E+19,609.98,0.53788
0,-0.21973,0,3.00E+19,609.98,0.53607
0,-0.21823,0,3.00E+19,609.98,0.53427
0,-0.21673,0,3.00E+19,609.98,0.53249
0,-0.21523,0,3.00E+19,609.98,0.53076
0,-0.21373,0,3.00E+19,609.98,0.52902
0,-0.21223,0,3.00E+19,609.98,0.52728
0,-0.21073,0,3.00E+19,609.98,0.52555
0,-0.20923,0,3.00E+19,609.98,0.52386
0,-0.20773,0,3.00E+19,609.98,0.52221
0,-0.20623,0,3.00E+19,609.98,0.52055
0,-0.20473,0,3.00E+19,609.98,0.51889
0,-0.20323,0,3.00E+19,609.98,0.51723
0,-0.20173,0,3.00E+19,609.98,0.5158
0,-0.20023,0,3.00E+19,609.98,0.51443
0,-0.19873,0,3.00E+19,609.98,0.51306
0,-0.19723,0,3.00E+19,609.98,0.51168
0,-0.19573,0,3.00E+19,609.98,0.51031
0,-0.19423,0,3.00E+19,609.98,0.50912
0,-0.19273,0,3.00E+19,609.98,0.50793
0,-0.19123,0,3.00E+19,609.98,0.50675
0,-0.18973,0,3.00E+19,609.98,0.50556
0,-0.18823,0,3.00E+19,609.98,0.50437
0,-0.18673,0,3.00E+19,609.98,0.50308
0,-0.18523,0,3.00E+19,609.98,0.5018
0,-0.18373,0,3.00E+19,609.98,0.50052
0,-0.18223,0,3.00E+19,609.98,0.49924
0,-0.18073,0,3.00E+19,609.98,0.49795
0,-0.17923,0,3.00E+19,609.98,0.49663
0,-0.17773,0,3.00E+19,609.98,0.49531
0,-0.17623,0,3.00E+19,609.98,0.494
0,-0.17473,0,3.00E+19,609.98,0.49268
0,-0.17323,0,3.00E+19,609.98,0.49142
0,-0.17173,0,3.00E+19,609.98,0.49023
0,-0.17023,0,3.00E+19,609.98,0.48904
0,-0.16873,0,3.00E+19,609.98,0.48785
0,-0.16723,0,3.00E+19,609.98,0.48666
0,-0.16573,0,3.00E+19,609.98,0.4854
0,-0.16423,0,3.00E+19,609.98,0.4841
0,-0.16273,0,3.00E+19,609.98,0.4828
0,-0.16123,0,3.00E+19,609.98,0.4815
0,-0.15973,0,3.00E+19,609.98,0.48021
0,-0.15823,0,3.00E+19,609.98,0.47841
0,-0.15673,0,3.00E+19,609.98,0.47649
0,-0.15523,0,3.00E+19,609.98,0.47457
0,-0.15373,0,3.00E+19,609.98,0.47266
0,-0.15223,0,3.00E+19,609.98,0.47074
0,-0.15073,0,3.00E+19,609.98,0.46903
0,-0.14923,0,3.00E+19,609.98,0.46733
0,-0.14773,0,3.00E+19,609.98,0.46562
0,-0.14623,0,3.00E+19,609.98,0.46392
0,-0.14473,0,3.00E+19,609.98,0.46232
0,-0.14323,0,3.00E+19,609.98,0.46135
0,-0.14173,0,3.00E+19,609.98,0.46037
0,-0.14023,0,3.00E+19,609.98,0.4594
0,-0.13873,0,3.00E+19,609.98,0.45842
0,-0.13723,0,3.00E+19,609.98,0.45755
0,-0.13573,0,3.00E+19,609.98,0.45688
0,-0.13423,0,3.00E+19,609.98,0.45622
0,-0.13273,0,3.00E+19,609.98,0.45556
0,-0.13123,0,3.00E+19,609.98,0.45489
0,-0.12973,0,3.00E+19,609.98,0.45436
0,-0.12823,0,3.00E+19,609.98,0.45395
0,-0.12673,0,3.00E+19,609.98,0.45355
0,-0.12523,0,3.00E+19,609.98,0.45315
0,-0.12373,0,3.00E+19,609.98,0.45275
0,-0.12223,0,3.00E+19,609.98,0.45223
